date,weighted_avg_sentiment_score,daywise_median_positive_score,daywise_median_negative_score,daywise_positive_tweet_count,daywise_negative_tweet_count,daywise_avg_replyCount,daywise_avg_retweetCount,daywise_avg_likeCount,daywise_avg_quoteCount,company,stock_price,next_day_stock_price,trend
2022-01-03,0.2750561151079136,0.5574,0.2732,11,1,82,6,33,3,1,144.991501,144.39950561523438,0
2022-01-04,0.1583875346260387,0.4019,0.1027,16,2,49,7,33,1,1,144.399506,137.77499389648438,0
2022-01-05,0.4617866753755714,0.4939,0.5859,20,4,4,8,59,1,1,137.774994,137.74749755859375,0
2022-01-06,0.4266574307304787,0.4215,0.6542,11,1,65,5,25,1,1,137.747498,137.01699829101562,0
2022-01-07,0.5710324579831934,0.5994,0.3182,18,2,57,5,48,1,1,137.016998,140.38609313964844,1
2022-01-08,0.1642296650717703,0.4404,0.7717,9,2,96,5,19,1,1,140.38609313964844,139.23475646972656,0
2022-01-09,0.2746261904761904,0.4404,0.25,7,3,2,4,20,0,1,139.23475646972656,138.66949462890625,0
2022-01-10,0.3661649171270718,0.4019,0.0,15,0,62,11,91,3,1,138.669495,139.73599243164062,1
2022-01-11,0.6635811586356252,0.4019,0.0,13,0,5,29,109,1,1,139.735992,141.4304962158203,1
2022-01-12,0.0062496208017334,0.34,0.4588,15,3,6,4,47,1,1,141.430496,138.58700561523438,0
2022-01-13,0.5683195819581959,0.5106,0.128,20,1,5,7,37,1,1,138.587006,139.48049926757812,1
2022-01-14,0.3757622596153845,0.4404,0.5994,9,3,2,3,32,1,1,139.480499,139.58070373535156,1
2022-01-15,0.4033400673400673,0.443,0.3612,7,1,5,7,27,1,1,139.58070373535156,139.80850219726562,1
2022-01-16,-0.1555214234875444,0.6249,0.7096,7,4,9,18,101,2,1,139.80850219726562,139.83267211914062,1
2022-01-17,0.3456697380729654,0.5423,0.6249,12,4,533,26,107,1,1,139.83267211914062,135.9980010986328,0
2022-01-18,0.2519472,0.4939,0.4019,15,4,43,7,29,1,1,135.998001,135.1165008544922,0
2022-01-19,0.4853315789473685,0.5719,0.128,17,1,67,28,170,1,1,135.116501,133.3074951171875,0
2022-01-20,0.2893941176470588,0.5574,0.3182,7,3,5,14,59,1,1,133.307495,130.35150146484375,0
2022-01-21,0.3305027982326951,0.6908,0.3612,14,1,57,8,34,2,1,130.351501,133.69337463378906,1
2022-01-22,0.1904087144790257,0.2263,0.0,10,0,66,49,218,12,1,133.69337463378906,133.69337463378906,0
2022-01-23,0.1984310875331564,0.4019,0.4215,12,2,56,20,95,1,1,133.69337463378906,130.8040008544922,0
