date,weighted_avg_sentiment_score,daywise_median_positive_score,daywise_median_negative_score,daywise_positive_tweet_count,daywise_negative_tweet_count,daywise_avg_replyCount,daywise_avg_retweetCount,daywise_avg_likeCount,daywise_avg_quoteCount,company
2022-03-09,0.4160235454545453,0.6486,0.7184,18,3,2,15,50,1,5
2022-03-10,0.6547599605522684,0.546,0.0,14,0,3,3,32,1,5
2022-03-11,0.26955274463007156,0.4019,0.1027,16,1,2,5,23,1,5
2022-03-12,0.23685986696230596,0.296,0.1027,6,1,13,10,113,2,5
2022-03-13,0.3202792144026187,0.34,0.7351,10,2,3,5,44,1,5
2022-03-14,0.17892167431192657,0.5423,0.3818,16,5,5,25,105,3,5
2022-03-15,0.038690460526315786,0.3612,0.3818,12,2,5,12,57,1,5
2022-03-16,0.4223208722741433,0.6705,0.2023,13,2,4,8,41,1,5
2022-03-17,0.6510974672489085,0.5574,0.0,12,0,6,10,89,1,5
2022-03-18,0.3772102449888641,0.4215,0.0,13,0,2,7,30,1,5
2022-03-19,0.37697912087912094,0.3612,0.0772,9,1,5,6,46,1,5
2022-03-20,0.43429299065420557,0.6369,0.4767,7,2,6,7,39,4,5
2022-03-21,0.44588499594485,0.5267,0.5059,17,2,4,6,52,1,5
2022-03-22,0.12147861319966582,0.5267,0.4201,12,4,9,10,71,2,5
2022-03-23,-0.002106293706293708,0.6249,0.4215,10,4,14,20,429,1,5
2022-03-24,0.5279531165311653,0.5267,0.7906,13,1,4,5,25,1,5
2022-03-25,0.13907194928684627,0.3612,0.5859,10,3,3,8,46,1,5
2022-03-26,0.35882344262295085,0.5106,0.0772,13,1,4,7,44,1,5
2022-03-27,0.47924866071428573,0.6369,0.7783,5,1,8,9,64,1,5
2022-03-28,0.30591656740660533,0.296,0.7184,19,2,8,10,77,2,5
2022-03-29,0.5790348218313037,0.5267,0.1779,25,3,7,11,74,2,5
2022-03-30,0.5096947249434814,0.6597,0.1531,13,2,13,48,266,4,5
2022-03-31,0.730274741506647,0.5267,0.0,13,0,3,8,49,1,5
2022-04-01,0.20403776137761373,0.6908,0.1531,10,3,3,6,55,1,5
2022-04-02,0.49790606293169604,0.5574,0.5994,12,2,11,23,261,3,5
2022-04-03,0.11435109649122807,0.6705,0.3818,7,2,6,17,83,1,5
2022-04-04,0.47940195712954325,0.5267,0.2732,12,2,9,36,230,3,5
2022-04-05,0.555997205346294,0.5994,0.4767,14,1,4,8,55,1,5
2022-04-06,0.5064463258785944,0.5994,0.128,14,3,12,11,235,3,5
2022-04-07,-0.017011238095238083,0.3818,0.3818,14,3,6,10,50,1,5
2022-04-08,0.4990831246273107,0.296,0.296,19,3,5,12,70,2,5
2022-04-09,0.01753287401574806,0.3612,0.296,8,1,11,9,57,2,5
2022-04-10,0.4450963519313304,0.5267,0.25,10,1,4,7,39,1,5
2022-04-11,0.5139507462686567,0.4939,0.25,15,2,5,5,30,1,5
2022-04-12,0.3264889502762431,0.4019,0.8957,14,2,6,15,54,1,5
2022-04-13,0.30773853550295854,0.4404,0.6486,20,1,21,7,55,1,5
2022-04-14,0.6332777422790202,0.6369,0.0,18,0,6,10,53,1,5
2022-04-15,0.24931705882352942,0.5994,0.2732,8,1,7,8,43,2,5
2022-04-16,0.21045975103734438,0.4588,0.5256,5,2,4,4,31,2,5
2022-04-17,0.5476103746397695,0.6597,0.0,6,0,25,9,174,3,5
2022-04-18,0.41617878787878787,0.34,0.3818,9,2,9,3,26,1,5
2022-04-19,0.3205859649122807,0.4939,0.128,20,3,7,14,35,1,5
2022-04-20,0.3396007211538462,0.4939,0.4215,12,4,3,6,22,1,5
2022-04-21,0.5485913644859813,0.5267,0.6124,16,2,10,18,141,2,5
2022-04-22,0.5333137489325362,0.4404,0.3612,18,1,6,8,54,1,5
