date,weighted_avg_sentiment_score,daywise_median_positive_score,daywise_median_negative_score,daywise_positive_tweet_count,daywise_negative_tweet_count,daywise_avg_replyCount,daywise_avg_retweetCount,daywise_avg_likeCount,daywise_avg_quoteCount,company
2022-03-09,0.46579600115074793,0.5859,0.2732,27,4,8,10,100,2,3
2022-03-10,-0.019926118067978518,0.4767,0.3818,9,9,4,2,28,1,3
2022-03-11,0.18557606132075474,0.4019,0.296,14,5,3,6,43,1,3
2022-03-12,0.5073451730418943,0.765,0.4895,7,1,6,7,61,1,3
2022-03-13,0.5339408233276158,0.3612,0.1585,12,2,9,21,39,1,3
2022-03-14,0.25528503937007874,0.4019,0.5999,14,4,3,3,27,1,3
2022-03-15,0.09190451339915374,0.4588,0.3818,13,4,4,5,36,1,3
2022-03-16,0.38708916551406175,0.4019,0.5574,14,5,6,11,109,1,3
2022-03-17,0.3592256457564575,0.4019,0.0,12,0,4,4,39,0,3
2022-03-18,0.24562170465807734,0.6486,0.3612,15,2,20,18,152,2,3
2022-03-19,0.714376303630363,0.5994,0.5574,12,2,8,31,95,2,3
2022-03-20,0.5133849056603773,0.5719,0.4767,7,2,5,8,111,2,3
2022-03-21,0.3453913793103448,0.6344,0.0258,11,1,1,2,16,1,3
2022-03-22,0.6099228399351402,0.5859,0.4215,36,2,7,11,99,2,3
2022-03-23,0.5636538210900475,0.5423,0.4215,31,7,6,8,77,2,3
2022-03-24,0.5025314681724844,0.5267,0.1027,26,5,12,124,296,6,3
2022-03-25,0.297370035335689,0.296,0.4404,18,3,34,189,1946,12,3
2022-03-26,0.38798143575674443,0.4404,0.4588,23,8,4,6,71,1,3
2022-03-27,0.4437776807980051,0.3544,0.9043,10,2,2,2,54,1,3
2022-03-28,0.3334311219929991,0.5267,0.5859,115,6,19,47,401,11,3
2022-03-29,0.2770473590292648,0.6486,0.4939,36,7,7,7,61,1,3
2022-03-30,0.22521954545454548,0.4404,0.4215,18,3,3,3,26,1,3
2022-03-31,0.3109297035458244,0.3818,0.5267,21,7,20,17,157,7,3
2022-04-01,0.2879702620198423,0.5994,0.4404,24,6,15,10,127,1,3
2022-04-02,0.39452342683851405,0.4939,0.6249,18,2,11,14,173,2,3
2022-04-03,0.15273682735426006,0.4588,0.3612,17,6,14,17,138,2,3
2022-04-04,0.47357632646811104,0.5574,0.296,77,8,14,24,137,9,3
2022-04-05,0.38745305134000646,0.5434,0.5423,37,5,12,9,65,3,3
2022-04-06,0.3338626611418047,0.4588,0.4767,25,8,8,7,64,1,3
2022-04-07,0.568131014406947,0.4019,0.3818,28,7,64,14,260,6,3
2022-04-08,0.23122222378014576,0.5267,0.4404,36,9,10,18,138,2,3
2022-04-09,0.5460432697547685,0.3182,0.4215,15,5,39,10,92,2,3
2022-04-10,0.4210404287138584,0.6124,0.4019,15,5,8,6,92,2,3
2022-04-11,0.27942167202572343,0.4767,0.5719,25,6,9,9,92,1,3
2022-04-12,0.037989882697947217,0.296,0.4019,14,7,7,7,74,1,3
2022-04-13,0.483477318718381,0.5267,0.4019,17,6,6,6,48,2,3
2022-04-14,0.0908203512438211,0.5574,0.4576,95,19,17,28,203,5,3
2022-04-15,0.2192739624961575,0.6486,0.5709,42,13,7,9,54,1,3
2022-04-16,0.37934652078774617,0.5267,0.296,21,6,6,7,74,1,3
2022-04-17,0.6035069925542247,0.6808,0.6486,16,8,11,10,115,1,3
2022-04-18,0.2670014216806295,0.5574,0.4767,16,4,24,20,165,4,3
2022-04-19,0.21366606714628292,0.4404,0.34,17,7,4,4,30,1,3
2022-04-20,0.5931389322454771,0.5106,0.2263,62,6,11,14,141,3,3
2022-04-21,0.4975365708431088,0.5719,0.2263,66,13,31,98,775,8,3
2022-04-22,0.510243572621035,0.6395,0.3182,29,6,9,7,65,1,3
2022-04-23,0.3929700303214069,0.5719,0.4115,35,9,15,14,169,2,3
2022-04-24,0.25667780663204154,0.7003,0.25,20,13,13,16,140,2,3
2022-04-25,-0.041829691090119955,0.5574,0.4215,97,35,23,28,244,6,3
2022-04-26,-0.21114903011446567,0.4767,0.4215,140,36,12,31,270,4,3
2022-04-27,0.4291314404114524,0.5267,0.3182,164,38,10,22,287,3,3
2022-04-28,0.0817080796520943,0.5267,0.2732,61,21,9,6,51,1,3
2022-04-29,0.47568620579915133,0.4767,0.5106,226,24,9,18,111,3,3
2022-04-30,-0.23716721608040195,0.5267,0.3374,30,10,9,23,119,2,3
2022-05-01,0.1622973523421589,0.6249,0.6486,15,5,16,9,94,1,3
2022-05-02,0.5671219331771665,0.4019,0.296,35,8,17,18,169,2,3
2022-05-03,0.012664233576642321,0.5106,0.34,21,6,3,4,34,1,3
2022-05-04,0.24214498438042345,0.659,0.4939,15,2,16,19,131,2,3
2022-05-05,0.31438931582360574,0.4767,0.296,31,6,13,12,144,2,3
2022-05-06,-0.021283138918345698,0.4404,0.5106,22,8,20,18,184,4,3
2022-05-07,0.38337858776443684,0.6369,0.3182,17,2,39,14,167,3,3
2022-05-08,0.7400202801507673,0.5574,0.3612,18,6,121,380,3562,28,3
2022-05-09,0.4811672220653298,0.4019,0.2023,35,8,15,18,209,3,3
2022-05-10,0.38727149234693875,0.5106,0.4939,40,8,9,7,59,1,3
2022-05-11,0.3463421785561724,0.4404,0.4201,48,19,25,33,305,4,3
2022-05-12,0.3135135056467575,0.3818,0.4404,58,15,11,16,105,3,3
2022-05-13,0.46349353159851303,0.4767,0.3182,120,33,7,17,113,3,3
2022-05-14,0.26124285714285717,0.5719,0.6369,30,7,8,9,62,1,3
2022-05-15,0.5964277985074626,0.4404,0.0772,13,3,8,10,95,2,3
2022-05-16,0.0540516030174446,0.5719,0.4588,21,11,7,9,104,1,3
2022-05-17,0.18982811750599518,0.5423,0.4215,33,15,11,14,99,3,3
2022-05-18,0.17256302997046527,0.469,0.5719,75,104,26,58,281,14,3
2022-05-19,-0.24963544908544913,0.4939,0.5106,99,75,13,20,113,3,3
2022-05-20,0.40667681789272847,0.4404,0.4767,101,50,14,29,217,6,3
2022-05-21,-0.05898922264700527,0.6197,0.2023,43,20,11,21,151,3,3
2022-05-22,0.44839583893907353,0.5563,0.4588,35,13,14,31,213,5,3
2022-05-23,0.14473705507680784,0.5106,0.4404,32,13,7,10,103,1,3
2022-05-24,0.2932708699516144,0.4767,0.4019,49,23,15,37,247,4,3
2022-05-25,0.09655773322422259,0.3182,0.296,22,15,6,8,63,1,3
2022-05-26,0.5317716512702079,0.3612,0.5719,19,5,7,6,70,1,3
2022-05-27,0.5369051618026602,0.4215,0.5267,20,2,15,16,174,2,3
2022-05-28,0.1827719876733436,0.5574,0.3612,17,3,16,11,148,2,3
2022-05-29,0.09081153419593345,0.7506,0.3182,13,5,6,12,136,2,3
2022-05-30,0.2797214116251483,0.5574,0.3612,10,3,8,12,100,2,3
2022-05-31,0.17249657416923597,0.4588,0.5719,21,6,6,10,95,1,3
2022-06-01,0.40621615452151,0.3612,0.5719,16,6,4,5,48,1,3
2022-06-02,0.3298937449879711,0.3612,0.4939,15,7,6,6,50,1,3
2022-06-03,0.44452793373673233,0.5106,0.3626,63,23,13,12,108,4,3
2022-06-04,0.5904974929760104,0.6486,0.25,18,12,9,22,145,2,3
2022-06-05,-0.2095539254823686,0.5423,0.5256,10,5,13,16,188,2,3
2022-06-06,0.45141897716307483,0.4459,0.5267,24,6,12,21,195,2,3
2022-06-07,-0.12923641975308642,0.5106,0.7579,16,2,4,7,36,1,3
2022-06-08,0.09475303249097472,0.296,0.4019,26,8,8,11,77,2,3
2022-06-09,0.3207219491762078,0.357,0.5267,22,1,6,17,128,2,3
2022-06-10,0.599978120905858,0.5106,0.2732,35,4,8,16,122,3,3
2022-06-11,0.5365730696798493,0.6486,0.0,19,0,22,11,133,2,3
2022-06-12,0.3438014059753955,0.5423,0.4215,8,2,5,6,41,1,3
2022-06-13,0.30717649434571886,0.3818,0.2732,18,9,4,8,43,1,3
2022-06-14,0.32429713102632357,0.4215,0.0258,20,3,6,16,131,2,3
2022-06-15,0.7557023997257457,0.5574,0.3818,23,2,11,16,117,3,3
2022-06-16,0.34929499417927823,0.6369,0.5267,20,8,7,7,50,2,3
2022-06-17,0.24140400790797983,0.4404,0.3818,20,22,9,14,121,2,3
2022-06-18,0.14570165250236067,0.6597,0.25,10,10,18,22,97,6,3
2022-06-19,0.8682170659963633,0.5994,0.6249,9,3,40,273,1439,13,3
2022-06-20,0.2721506097560976,0.6369,0.4404,10,5,4,6,46,1,3
2022-06-21,0.3835609940357853,0.6124,0.25,21,6,13,11,90,2,3
