date,weighted_avg_sentiment_score,daywise_median_positive_score,daywise_median_negative_score,daywise_positive_tweet_count,daywise_negative_tweet_count,daywise_avg_replyCount,daywise_avg_retweetCount,daywise_avg_likeCount,daywise_avg_quoteCount,company
2022-03-10,0.6190674965421852,0.4745,0.5267,11,1,5,9,121,2,2
2022-03-11,0.22111396648044693,0.3612,0.1027,11,3,3,7,24,1,2
2022-03-12,0.08015140186915888,0.1779,0.0772,1,1,3,7,54,1,2
2022-03-13,0.24353941908713694,0.296,0.0,4,0,3,30,181,4,2
2022-03-14,-0.018361930294906167,0.4019,0.0516,2,1,8,64,187,6,2
2022-03-15,0.5114420814479638,0.296,0.0516,6,1,2,6,28,1,2
2022-03-16,0.29388419753086414,0.296,0.0,8,0,6,14,51,2,2
2022-03-17,0.4723406367041198,0.4939,0.3182,7,2,3,7,60,1,2
2022-03-18,0.6240065722952477,0.34,0.0,7,0,35,33,619,4,2
2022-03-19,0.24763217821782177,0.2732,0.0,4,0,6,11,51,2,2
2022-03-20,0.9090310379241517,0.6486,0.0,2,0,12,153,501,5,2
2022-03-21,0.7608232227488153,0.5994,0.4019,10,1,3,10,58,1,2
2022-03-22,0.224525,0.1779,0.0,2,0,1,2,10,0,2
2022-03-23,-0.3261423895253682,0.7506,0.4215,3,2,18,23,123,1,2
2022-03-24,0.6357888412017167,0.296,0.7906,8,1,2,5,26,1,2
2022-03-25,0.7340397590361445,0.4404,0.0,5,0,1,8,50,1,2
2022-03-26,0.2916028925619835,0.1779,0.0,4,0,3,13,61,1,2
2022-03-27,0.743,0.743,0.0,1,0,1,9,11,0,2
2022-03-28,0.47292090909090906,0.1779,0.0,6,0,5,8,48,1,2
2022-03-29,0.10081076388888888,0.4019,0.5423,6,1,5,6,42,1,2
2022-03-30,-0.062398625429553274,0.5171,0.1531,1,1,10,61,291,2,2
2022-03-31,0.4462301075268817,0.5859,0.5106,9,1,2,5,22,1,2
2022-04-01,0.25519782205746055,0.5106,0.4019,7,3,7,37,216,3,2
2022-04-02,0.2670282051282052,0.1779,0.0,2,0,2,8,39,1,2
2022-04-03,0.4239656976744186,0.4215,0.0,3,0,3,11,58,1,2
2022-04-04,0.48971428571428566,0.4404,0.0,2,0,1,4,11,1,2
2022-04-05,0.6488123404255319,0.5719,0.0,4,0,3,16,59,2,2
2022-04-06,0.04796446540880503,0.1779,0.0,2,0,9,17,80,1,2
2022-04-07,0.0906012244897959,0.296,0.0258,5,1,11,19,62,1,2
2022-04-08,0.03156373626373626,0.1779,0.4767,7,1,6,7,31,1,2
2022-04-09,0.1779,0.1779,0.0,1,0,25,10,68,2,2
2022-04-10,0.8225,0.8225,0.0,1,0,2,1,26,0,2
2022-04-11,0.6497099255583126,0.4939,0.0,10,0,7,4,41,1,2
2022-04-12,0.061854865085854444,0.3612,0.0,6,0,10,33,136,5,2
2022-04-13,0.2092053435114504,0.1779,0.0,4,0,2,9,53,1,2
2022-04-14,0.538130981595092,0.6249,0.8442,5,1,4,18,55,1,2
2022-04-15,0.28142736842105265,0.4404,0.5994,3,1,3,3,24,1,2
2022-04-16,0.3516625,0.4019,0.0,1,0,12,32,96,4,2
2022-04-17,-0.4879,0.5994,0.6124,1,1,4,15,73,3,2
2022-04-18,0.2516989100817439,0.296,0.1779,6,1,1,8,46,1,2
2022-04-19,0.6364227722772277,0.4588,0.128,7,1,4,4,38,1,2
2022-04-20,0.7398231083844581,0.4019,0.0,8,0,6,26,184,1,2
2022-04-21,0.3748834008097166,0.1779,0.7351,4,2,6,9,36,1,2
2022-04-22,0.669897641509434,0.4404,0.0,5,0,11,17,122,2,2
2022-04-23,0.19132852112676058,0.1779,0.872,6,2,2,7,32,1,2
2022-04-24,0.5458723047619046,0.4215,0.8176,8,1,11,40,219,5,2
2022-04-25,0.20606626984126986,0.1779,0.4215,6,1,4,4,26,1,2
2022-04-26,0.500734396076027,0.5574,0.4939,22,4,6,7,59,1,2
2022-04-27,0.49380660000000004,0.4019,0.128,16,1,8,10,50,1,2
2022-04-28,0.5246081867463214,0.7351,0.5423,15,2,25,51,503,14,2
2022-04-29,0.4786495844875347,0.3612,0.0,2,0,3,35,181,1,2
2022-04-30,0.33233652561247207,0.296,0.0,7,0,15,23,193,5,2
2022-05-01,0.5553426356589147,0.6908,0.5829,4,1,7,17,104,2,2
2022-05-02,0.14188095238095239,0.296,0.4215,4,3,4,2,21,1,2
2022-05-03,0.4999772357723577,0.4939,0.0,7,0,3,3,18,0,2
2022-05-04,0.4646903885480573,0.2023,0.5106,8,1,6,9,49,0,2
2022-05-05,0.3497676300578035,0.3612,0.1027,9,1,2,6,18,1,2
2022-05-06,0.11399754901960786,0.2263,0.5423,5,2,10,13,88,2,2
2022-05-07,0.448404,0.3612,0.0,4,0,3,2,25,0,2
2022-05-08,0.07371504132231407,0.3612,0.7003,4,2,68,48,433,8,2
2022-05-09,0.24322313167259785,0.1779,0.2263,16,4,5,12,54,3,2
2022-05-10,-0.00901158536585366,0.2263,0.4404,6,5,2,6,26,1,2
2022-05-11,-0.11128412204234121,0.25,0.4939,9,5,11,21,108,3,2
2022-05-12,0.2441197278911565,0.25,0.0,11,0,4,17,80,3,2
2022-05-13,0.2646019230769231,0.4019,0.0,5,0,2,3,18,1,2
2022-05-14,0.1254970992366412,0.1779,0.2023,5,2,5,17,94,2,2
2022-05-15,0.6044872881355932,0.4588,0.296,2,1,8,12,89,1,2
2022-05-16,0.21849007936507936,0.1779,0.0,6,0,19,31,84,7,2
2022-05-17,0.30825677530017154,0.1779,0.5574,5,1,14,21,84,4,2
2022-05-18,-0.002205578512396704,0.1779,0.128,8,3,10,22,81,3,2
2022-05-19,0.30967896440129455,0.1779,0.5267,6,1,3,8,39,1,2
2022-05-20,0.6905201408450705,0.5859,0.0,6,0,9,7,119,1,2
2022-05-21,0.18939536784741143,0.1779,0.0,5,0,19,13,62,2,2
2022-05-22,0.15237252162341983,0.7351,0.5106,7,1,15,27,188,3,2
2022-05-23,0.26219929328621905,0.2023,0.0,7,0,3,7,36,1,2
2022-05-24,0.13122805124747136,0.5106,0.0516,9,3,11,17,115,2,2
2022-05-25,0.25118588548601867,0.1779,0.1531,6,1,10,13,76,2,2
2022-05-26,-0.13178700980392158,0.1779,0.4767,7,3,5,6,38,2,2
2022-05-27,0.36684866310160424,0.296,0.1027,5,1,8,5,32,1,2
2022-05-28,0.19169574468085107,0.1779,0.0,4,0,2,14,47,1,2
2022-05-29,-0.012570662460567811,0.1779,0.3612,1,1,13,55,317,3,2
2022-05-30,0.130683,0.0772,0.1779,3,1,6,7,40,1,2
2022-05-31,0.010288474576271137,0.4019,0.5994,8,2,3,12,27,2,2
2022-06-01,0.32430528211284504,0.296,0.0,11,0,4,10,76,2,2
2022-06-02,0.22161744656268054,0.1779,0.4404,20,8,5,9,58,2,2
2022-06-03,0.2912975232198142,0.3384,0.4404,8,1,3,5,33,1,2
2022-06-04,0.7427068965517242,0.0516,0.0,2,0,7,10,73,2,2
2022-06-05,0.283675,0.4588,0.0,3,0,2,8,27,1,2
2022-06-06,0.5687968047337278,0.4404,0.4019,12,2,11,9,61,2,2
2022-06-07,0.3520801517067003,0.4767,0.7184,10,2,26,45,122,11,2
2022-06-08,0.3211459363957597,0.3818,0.0,15,0,11,11,50,2,2
2022-06-09,0.5340643605870021,0.6688,0.3818,10,2,5,7,37,1,2
2022-06-10,0.2959677966101695,0.3892,0.3142,4,1,2,4,24,1,2
2022-06-11,0.39847950263752824,0.3818,0.128,4,1,15,52,266,9,2
2022-06-12,-0.6705,0.0,0.6705,0,1,1,0,7,0,2
2022-06-13,0.1564246621621622,0.1779,0.2732,5,4,3,6,33,1,2
2022-06-14,0.3442223300970874,0.296,0.8658,6,2,3,5,26,1,2
2022-06-15,0.3838688073394495,0.2023,0.1531,7,1,1,4,25,1,2
2022-06-16,0.2317572727272727,0.1779,0.0772,6,1,3,4,16,1,2
2022-06-17,-0.11851031746031745,0.1779,0.4019,3,2,2,5,26,1,2
2022-06-18,0.35040000000000004,0.1779,0.0,4,0,1,5,16,1,2
2022-06-20,0.4026742808798646,0.34,0.296,4,1,15,11,119,1,2
2022-06-21,0.25853533568904585,0.4939,0.4215,7,2,3,5,32,2,2
2022-06-22,0.2134568627450981,0.4019,0.4767,8,5,3,6,24,1,2
2022-06-23,0.26817450980392155,0.1779,0.0,4,0,1,5,13,1,2
2022-06-24,0.37828467741935484,0.1779,0.0,6,0,1,5,21,0,2
2022-06-25,-0.26333841368584754,0.1531,0.4215,3,1,17,22,129,2,2
2022-06-26,0.5984,0.5984,0.0,1,0,0,2,8,0,2
2022-06-27,0.012484827586206882,0.1779,0.25,6,1,1,10,42,1,2
2022-06-28,0.1321414285714286,0.1779,0.3182,5,1,2,5,18,1,2
2022-06-29,0.08832121212121212,0.1779,0.296,3,1,1,9,25,2,2
2022-06-30,-0.4893806276403138,0.5267,0.5574,5,2,12,80,237,8,2
2022-07-01,-0.1394300578034682,0.1779,0.2732,2,1,1,3,58,0,2
2022-07-02,0.6219118343195266,0.4215,0.0,6,0,6,20,29,3,2
2022-07-03,-0.3508160714285714,0.0,0.3682,0,2,2,5,84,1,2
2022-07-04,-0.13966518883415435,0.9201,0.296,3,3,16,18,87,1,2
2022-07-05,0.3167404306220095,0.4019,0.8658,10,1,3,10,38,1,2
2022-07-06,0.5059981818181817,0.1779,0.0,5,0,1,6,28,0,2
2022-07-07,-0.10856999449440266,0.3818,0.3818,7,2,8,142,606,5,2
2022-07-08,-0.09051162790697673,0.1779,0.5267,2,1,0,3,15,0,2
2022-07-09,0.21493675048355898,0.1779,0.6808,2,1,9,22,173,3,2
2022-07-10,0.8734309547738693,0.296,0.0,4,0,14,24,249,1,2
2022-07-11,0.3685972602739726,0.1779,0.0,4,0,7,10,37,0,2
2022-07-12,0.5636754,0.34,0.34,7,1,2,17,56,1,2
2022-07-13,0.3637678571428572,0.4359,0.6494,5,1,3,4,52,0,2
2022-07-14,0.4946132553606237,0.5574,0.4939,4,1,3,12,103,1,2
2022-07-15,0.1493083916083916,0.1779,0.7003,4,2,2,6,24,1,2
2022-07-16,0.526254435483871,0.5574,0.0,6,0,3,6,42,1,2
2022-07-17,0.6499157894736842,0.4588,0.0,2,0,5,5,19,2,2
2022-07-18,0.24988868813825607,0.2023,0.3612,5,1,6,26,213,1,2
2022-07-19,0.3562818897637795,0.5719,0.128,6,1,1,3,19,1,2
2022-07-20,0.6303695139911636,0.6808,0.0,9,0,7,15,68,1,2
2022-07-21,0.6109742990654206,0.8271,0.0258,7,1,2,5,27,1,2
2022-07-22,0.4849198770491803,0.34,0.0,6,0,3,8,70,1,2
2022-07-23,0.4872232905982906,0.4767,0.0,8,0,4,16,52,1,2
2022-07-24,-0.06124202898550724,0.0258,0.2023,2,1,3,2,23,1,2
2022-07-25,0.21678421052631575,0.7845,0.3612,9,4,3,6,25,1,2
